iter	MultiClass
0	0.6809929423
1	0.6711066192
2	0.6630937357
3	0.6565705106
4	0.6509369949
5	0.6464177625
6	0.6427260314
7	0.6394805819
8	0.6368662759
9	0.6343081284
10	0.6323056327
11	0.6305433823
12	0.6292032064
13	0.6280033089
14	0.6270082344
15	0.6261114158
16	0.6253375013
17	0.6243986643
18	0.6235818584
19	0.6227006521
20	0.6222000817
21	0.6212752199
22	0.6207298255
23	0.6203326184
24	0.6199857134
25	0.619181989
26	0.6188299359
27	0.6184557659
28	0.6179930841
29	0.6174529961
30	0.6168317525
31	0.6162377094
32	0.6157360356
33	0.6150030516
34	0.6142892801
35	0.6140582862
36	0.613808088
37	0.6129580783
38	0.612555593
39	0.6120395993
40	0.6115405359
41	0.6110305569
42	0.6106187196
43	0.6100901744
44	0.6097416118
45	0.6093219509
46	0.6090183554
47	0.6086435451
48	0.6081231396
49	0.6074423284
50	0.6070620585
51	0.6065028392
52	0.6060611818
53	0.6055187516
54	0.6050622461
55	0.604657691
56	0.6043696691
57	0.6039966751
58	0.6033627452
59	0.6029694316
60	0.6027348646
61	0.6021320137
62	0.6016951716
63	0.6008771953
64	0.6004455844
65	0.600032495
66	0.599617978
67	0.5992269699
68	0.5986676514
69	0.5982590541
70	0.5976892677
71	0.597212601
72	0.596688943
73	0.5961426451
74	0.59588461
75	0.5953209879
76	0.5944512805
77	0.593874823
78	0.5935136425
79	0.593019619
80	0.5925028522
81	0.5918593071
82	0.5914881816
83	0.590971319
84	0.59046011
85	0.5897202252
86	0.5893404892
87	0.5888076668
88	0.5884169814
89	0.5879384603
90	0.587318663
91	0.5865097482
92	0.586039689
93	0.5856171113
94	0.5849252553
95	0.5844240004
96	0.5838804176
97	0.5833916857
98	0.5826049724
99	0.5818969374
100	0.5813869859
101	0.5806866203
102	0.5800627192
103	0.5796403635
104	0.5792487369
105	0.578769196
106	0.5784032352
107	0.57792835
108	0.5772711743
109	0.5766673705
110	0.5757643655
111	0.5751505396
112	0.5745913042
113	0.5740582338
114	0.5735909755
115	0.5730663678
116	0.5724609103
117	0.571953214
118	0.571500055
119	0.5708184195
120	0.5702558351
121	0.569785401
122	0.5688175531
123	0.568252829
124	0.5674767888
125	0.5665645957
126	0.566209178
127	0.5655953354
128	0.5652370632
129	0.5644320592
130	0.5640202283
131	0.5634595027
132	0.5629940939
133	0.5623247429
134	0.5617066376
135	0.5611848093
136	0.5603566383
137	0.5600426724
138	0.5595266373
139	0.5588710036
140	0.5582761331
141	0.5577362877
142	0.5573142593
143	0.5566119105
144	0.5559993658
145	0.5555447248
146	0.554914377
147	0.5539982941
148	0.5533973704
149	0.5527513534
150	0.5522947806
151	0.5517961183
152	0.5512343876
153	0.5507414841
154	0.5502913487
155	0.5497120657
156	0.5493716552
157	0.5489532481
158	0.5484393378
159	0.5477498418
160	0.5472097203
161	0.5467825204
162	0.5462403562
163	0.5458050675
164	0.5452310465
165	0.5447476215
166	0.5440987431
167	0.5434153991
168	0.5426505288
169	0.5420450251
170	0.5414347667
171	0.540905598
172	0.5402841533
173	0.5396516682
174	0.5392370637
175	0.5388101118
176	0.5384109741
177	0.5378267484
178	0.5374251556
179	0.5367804601
180	0.5362555768
181	0.5357763849
182	0.535164854
183	0.5347747828
184	0.5340986613
185	0.5338361139
186	0.5334741661
187	0.5328980263
188	0.5323143278
189	0.5317086494
190	0.5312228399
191	0.5305475336
192	0.5301981377
193	0.5298557616
194	0.529435144
195	0.5289853706
196	0.5284576629
197	0.5278493001
198	0.5274566018
199	0.5269508997
200	0.526399165
201	0.526073776
202	0.5254443013
203	0.5248111276
204	0.524087471
205	0.5235593059
206	0.5231043527
207	0.5225386163
208	0.5219576875
209	0.5214788687
210	0.5208465433
211	0.5203702011
212	0.5199605684
213	0.5194308331
214	0.5189490081
215	0.5185916168
216	0.5178428526
217	0.5173046944
218	0.5167782926
219	0.5164528199
220	0.5159063074
221	0.5154381582
222	0.5150147374
223	0.5143210841
224	0.5139654572
225	0.5134825451
226	0.5127762572
227	0.5123460446
228	0.5117953718
229	0.5112575279
230	0.5108057487
231	0.5102478543
232	0.5097076625
233	0.5091112194
234	0.5087692818
235	0.508054815
236	0.5074575366
237	0.5070316624
238	0.5065590442
239	0.506081141
240	0.5054614467
241	0.505046653
242	0.504551724
243	0.5040598899
244	0.5035074263
245	0.503030694
246	0.5026951832
247	0.5020560293
248	0.5015134657
249	0.5011166689
250	0.5004620578
251	0.4999263777
252	0.4993628428
253	0.4988653252
254	0.4985041877
255	0.4980144621
256	0.4975356774
257	0.497051137
258	0.4966415685
259	0.4962391028
260	0.4958183154
261	0.4954423004
262	0.4950177626
263	0.494546642
264	0.4941475602
265	0.4937710995
266	0.4934431847
267	0.4930590965
268	0.492651598
269	0.492238806
270	0.4918896977
271	0.491418797
272	0.4910489701
273	0.4906309397
274	0.4903069188
275	0.4898354955
276	0.4894484408
277	0.4891124679
278	0.4887692677
279	0.4883852502
280	0.4879630821
281	0.4876002713
282	0.4872098923
283	0.4867078541
284	0.4861494748
285	0.4856131827
286	0.4850257909
287	0.4847070514
288	0.4841252034
289	0.4836820644
290	0.4833221976
291	0.4828850492
292	0.4825360234
293	0.4821824469
294	0.4818517333
295	0.4815391145
296	0.4812426027
297	0.4807997838
298	0.4803502874
299	0.4798940395
300	0.4794382287
301	0.4788112828
302	0.4784218473
303	0.4779318842
304	0.4775340377
305	0.4770187268
306	0.4767132772
307	0.4764171001
308	0.4760990575
309	0.4755249032
310	0.4750065392
311	0.4746262476
312	0.474250399
313	0.4738397591
314	0.473298298
315	0.4728578144
316	0.4725217734
317	0.4719746392
318	0.4716155354
319	0.4712245419
320	0.4707987418
321	0.4702645072
322	0.4698968336
323	0.4695712491
324	0.4689726179
325	0.4686699465
326	0.4681489056
327	0.4676508055
328	0.4673294508
329	0.4668062939
330	0.4662506474
331	0.4657741856
332	0.4654417361
333	0.4650879704
334	0.4646255888
335	0.4640889906
336	0.4635957575
337	0.4630917533
338	0.4625568803
339	0.4622897027
340	0.4619351789
341	0.4613625654
342	0.4610010215
343	0.4606828831
344	0.4602356082
345	0.4598694149
346	0.4594943411
347	0.4590890243
348	0.458872153
349	0.4584277922
350	0.4580380157
351	0.4575357753
352	0.4570828012
353	0.4567501322
354	0.4564343873
355	0.4560643689
356	0.4556492594
357	0.4551096069
358	0.4548440498
359	0.4542874606
360	0.4539009459
361	0.4534100255
362	0.4530302861
363	0.4525113487
364	0.4521804804
365	0.45191755
366	0.4514928971
367	0.4510922596
368	0.4506326741
369	0.4502069059
370	0.4496523835
371	0.4492975312
372	0.4488938738
373	0.4484835504
374	0.448021926
375	0.4477339446
376	0.4472955829
377	0.446704842
378	0.4463818332
379	0.4459735906
380	0.445469996
381	0.4449260396
382	0.4444832014
383	0.4439645725
384	0.4435098254
385	0.443137612
386	0.4426617775
387	0.4420405091
388	0.4415211755
389	0.4410545726
390	0.4407020125
391	0.4402713075
392	0.4397542899
393	0.4393014131
394	0.4389264722
395	0.4385857423
396	0.4380903535
397	0.4378569448
398	0.4374885538
399	0.4370380197
400	0.4365355993
401	0.4362333612
402	0.4358778175
403	0.4355353284
404	0.4352241353
405	0.4347814527
406	0.4342790619
407	0.4339346792
408	0.4334381133
409	0.4328852179
410	0.432452947
411	0.4320905012
412	0.4316746519
413	0.4314094147
414	0.4308036494
415	0.4304178268
416	0.4301297248
417	0.4297604474
418	0.4294435731
419	0.4291535662
420	0.4289221552
421	0.428543431
422	0.4281059402
423	0.4277998947
424	0.4274188933
425	0.4271621148
426	0.4267702861
427	0.4263423286
428	0.4260488096
429	0.4255844955
430	0.425279949
431	0.4248004573
432	0.4242623069
433	0.4238902404
434	0.423395294
435	0.4230879414
436	0.4226563482
437	0.4220553943
438	0.4217765512
439	0.4213514048
440	0.4210947058
441	0.4207008742
442	0.4203506493
443	0.4198725733
444	0.4195054155
445	0.4190721112
446	0.4186270981
447	0.4181675036
448	0.4176751299
449	0.4173418811
450	0.4169090023
451	0.4166431861
452	0.4163734472
453	0.4161381794
454	0.4157707254
455	0.4155188641
456	0.4150713533
457	0.4146758907
458	0.4142684846
459	0.4138220274
460	0.4134833022
461	0.4131839665
462	0.4127895951
463	0.4124887529
464	0.4121500851
465	0.4117944325
466	0.4115436829
467	0.4112524769
468	0.4109645991
469	0.4105915791
470	0.4102396609
471	0.4098917843
472	0.4096015374
473	0.4092813838
474	0.4089205368
475	0.4086625831
476	0.4083534458
477	0.4081188622
478	0.4077875842
479	0.4073856946
480	0.4069277059
481	0.4066381994
482	0.4064111862
483	0.4061841924
484	0.4059727567
485	0.4056866414
486	0.4053930891
487	0.4050522304
488	0.4047068508
489	0.4041322976
490	0.4037885629
491	0.4034497379
492	0.4031141189
493	0.4027646243
494	0.4025164581
495	0.4022023387
496	0.4017639216
497	0.4013965317
498	0.401069702
499	0.400783372
500	0.4004849909
501	0.4001791256
502	0.3998356845
503	0.3994418514
504	0.3990487844
505	0.3989167606
506	0.3985353467
507	0.3981931278
508	0.3978906592
509	0.3975331449
510	0.3971625529
511	0.3969128333
512	0.3965230614
513	0.3960371783
514	0.3956831157
515	0.3952851188
516	0.3949868254
517	0.3946575425
518	0.3943302113
519	0.393993333
520	0.3935634907
521	0.3932459256
522	0.3929549182
523	0.3925736974
524	0.3923458327
525	0.3921727176
526	0.3918947446
527	0.3915622484
528	0.3911652983
