iter	Passed	Remaining
0	59	5850
1	60	2948
2	61	1980
3	62	1496
4	63	1203
5	64	1008
6	65	866
7	66	760
8	67	678
9	68	612
10	68	557
11	69	512
12	70	474
13	71	440
14	72	412
15	73	387
16	74	365
17	75	344
18	76	327
19	77	310
20	78	295
21	79	282
22	80	269
23	81	257
24	82	247
25	83	237
26	84	228
27	85	219
28	86	211
29	87	204
30	88	196
31	89	189
32	90	183
33	91	177
34	92	171
35	93	167
36	95	161
37	96	156
38	96	151
39	98	147
40	99	142
41	100	138
42	100	133
43	102	129
44	103	125
45	103	122
46	104	118
47	105	114
48	106	111
49	107	107
50	108	104
51	109	101
52	110	98
53	111	95
54	112	92
55	114	89
56	115	86
57	115	83
58	116	81
59	117	78
60	118	75
61	119	73
62	120	70
63	121	68
64	122	65
65	123	63
66	123	61
67	124	58
68	125	56
69	126	54
70	128	52
71	129	50
72	130	48
73	131	46
74	131	43
75	132	41
76	133	39
77	134	37
78	135	36
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	24
85	142	23
86	142	21
87	143	19
88	144	17
89	145	16
90	147	14
91	148	12
92	149	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	155	0
